nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año,postulacion,empresa
"Yasna Cecilia, Flores Gutiérrez",Mujer,27,19.821.285-1,yasna.flores@udec.cl,Universidad de Concepción,+56 9 6008-2523,Ingeniería y Tecnología,Ingeniería Civil Industrial,6,Practicante en Calidad,Facebook
"Margarita Delfina, Reyes López",Mujer,19,21.887.495-5,m.reyes68@ug.uchile.cl,Universidad de Chile,+56 9 9979-4319,Ingeniería y Tecnología,Ingeniería Civil Industrial,1,Practicante en Consultoría Empresarial,Apple
"Fernando Homero, Herrera Avendaño",Hombre,29,18.688.736-4,fernando.h6@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8227-6426,Ciencias de la Salud,Medicina,7,Practicante en Cirugía,Clínica Indisa
"Iván Rodrigo, Lillo Navarro",Hombre,26,19.853.943-9,iván.lillo@ug.uchile.cl,Universidad de Chile,+56 9 0825-0968,Ingeniería y Tecnología,Ingeniería Civil,5,Practicante en Hidrología,Apple
"Belen Vanessa, Ortega Araya",Mujer,20,20.903.237-0,belen.o22@ug.uchile.cl,Universidad de Chile,+56 9 1397-9414,Ingeniería y Tecnología,Ingeniería Civil,2,Practicante en Ingeniería Estructural,Apple
"Felipe Roberto, Salazar Sandoval",Hombre,21,20.295.135-9,f.salazar78@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9533-5784,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2,Practicante en Redes Eléctricas,Apple
"Flavio Rafael, Cáceres Herrera",Hombre,22,20.065.814-1,f.cáceres25@udp.cl,Universidad Diego Portales,+56 9 6131-7087,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2,Practicante en Fabricación de Maquinaria,IBM
"Cecilia Cecilia, Vidal Aguilera",Mujer,24,19.074.467-5,cecilia.vidal@uv.cl,Universidad de Valparaíso,+56 9 8350-4938,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,5,Practicante en Energía Renovable,Microsoft
"Javier Simón, Vargas Mora",Hombre,18,21.069.159-K,javier.vargas@ua.cl,Universidad Austral de Chile,+56 9 3556-9408,Ciencias Sociales y Humanidades,Psicología,2,Practicante en Neuropsicología,Banco BCI
"Franco Clemente, Romero Sáez",Hombre,27,19.311.868-7,franco.romero@ug.uchile.cl,Universidad de Chile,+56 9 0891-1116,Ciencias de la Salud,Kinesiología,6,Practicante en Neurorehabilitación,Clínica Los Coihues
"Homero Marcelo, Fuentes Carvajal",Hombre,20,20.941.207-9,homero.f95@udec.cl,Universidad de Concepción,+56 9 4773-8253,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Geotecnia,Microsoft
"Iván Mauricio, Carrasco Salazar",Hombre,25,19.420.505-8,iván.c40@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1150-3527,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Obras Civiles,IBM
"Simón Ramón, Santos Díaz",Hombre,27,19.686.035-9,simón.s92@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0949-4142,Ciencias de la Salud,Odontología,6,Practicante en Endodoncia,Hospital San Juan de Dios
"Xavier Raúl, Vásquez Valdés",Hombre,26,19.484.368-7,x.vásquez@uv.cl,Universidad de Valparaíso,+56 9 5008-0111,Ingeniería y Tecnología,Ingeniería Civil en Computación,5,Practicante en Inteligencia Artificial,Tesla
"Jorge Leandro, Cádiz Rivas",Hombre,18,21.894.448-1,jorge.cádiz@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1563-5282,Arte y Diseño,Diseño Gráfico,3,Practicante en Diseño de Packaging,Agencia JWT
"Hugo Luciano, Bustos Rojas",Hombre,20,20.997.389-7,h.bustos@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0324-7852,Ingeniería y Tecnología,Ingeniería Civil Industrial,3,Practicante en Logística,Intel
"Mónica Carmen, Peña Cáceres",Mujer,18,21.214.491-5,mónica.p86@ug.uchile.cl,Universidad de Chile,+56 9 8880-7927,Ciencias Sociales y Humanidades,Trabajo Social,2,Practicante en Intervención Comunitaria,Universidad de Santiago de Chile
"Rafael Rodrigo, Osorio Valenzuela",Hombre,27,19.541.041-1,rafael.o41@uv.cl,Universidad de Valparaíso,+56 9 1981-3691,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Redes Eléctricas,Tesla
"Rafael Yerko, Ramírez Moreno",Hombre,21,20.884.512-5,rafael.ramírez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6778-3787,Ingeniería y Tecnología,Ingeniería Civil en Computación,3,Practicante en Ciberseguridad,Netflix
"Francisco Leonardo, Bravo Flores",Hombre,24,19.110.474-6,francisco.b87@ug.uchile.cl,Universidad de Chile,+56 9 4943-0377,Ciencias Naturales,Física,6,Practicante en Astrofísica,Laboratorio Bayer
"Adolfo Alberto, Fernández Tapia",Hombre,27,19.591.502-9,adolfo.fernández@ug.uchile.cl,Universidad de Chile,+56 9 6872-8956,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,5,Practicante en Automatización,Tesla
"Patricio Leandro, Mendoza Bustos",Hombre,19,21.564.085-6,p.mendoza@ug.uchile.cl,Universidad de Chile,+56 9 4143-5207,Arte y Diseño,Arte Digital,3,Practicante en Realidad Virtual,Agencia JWT
"Catalina Francisca, Escobar Cisternas",Mujer,29,18.903.353-K,catalina.escobar@udec.cl,Universidad de Concepción,+56 9 4217-0829,Ciencias de la Salud,Medicina,7,Practicante en Pediatría,Clínica Alemana Norte
"Rafael Simón, Poblete Orellana",Hombre,28,18.736.072-5,rafael.p24@ua.cl,Universidad Austral de Chile,+56 9 1924-1934,Ingeniería y Tecnología,Ingeniería Civil en Computación,8,Practicante en Desarrollo de Software,Apple
"Javiera Renata, Romero Carvajal",Mujer,27,19.757.232-K,j.romero@uai.cl,Universidad Adolfo Ibáñez,+56 9 1626-5388,Ciencias Naturales,Física,6,Practicante en Física Nuclear,Laboratorio Chile
"Marco Pedro, Avendaño Martínez",Hombre,21,20.531.026-6,marco.avendaño@ug.uchile.cl,Universidad de Chile,+56 9 7943-1812,Ciencias de la Salud,Odontología,3,Practicante en Periodoncia,Clínica Indisa
"Miguel Álvaro, Fariña Mendoza",Hombre,30,18.703.030-1,m.fariña46@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5559-6833,Arte y Diseño,Arte Digital,6,Practicante en Animación y Modelado 3D,Agencia JWT
"Zenón Javier, Cádiz Quinteros",Hombre,18,21.898.318-5,zenón.cádiz@usach.cl,Universidad de Santiago de Chile,+56 9 4928-5320,Ciencias Naturales,Geología,1,Practicante en Geología Ambiental,Laboratorio Roche
"Rosa Sofía, Muñoz Rivas",Mujer,18,21.589.669-6,rosa.muñoz@ug.uchile.cl,Universidad de Chile,+56 9 9021-8328,Ciencias Naturales,Química,1,Practicante en Química Analítica,Laboratorio Roche
"Sebastián Franco, Baeza Leiva",Hombre,24,19.677.701-4,s.baeza58@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5800-2659,Ciencias de la Salud,Medicina,4,Practicante en Pediatría,Clínica Santa María
"Patricio Gaspar, Araya Villalobos",Hombre,21,20.366.097-5,p.araya3@ug.uchile.cl,Universidad de Chile,+56 9 2286-4403,Ciencias Sociales y Humanidades,Psicología,4,Practicante en Neuropsicología,Universidad de Santiago de Chile
"Francisca Ana, Mendoza Leiva",Mujer,28,18.477.026-8,f.mendoza@udp.cl,Universidad Diego Portales,+56 9 3663-2632,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Electrónica de Potencia,Amazon
"Julieta Catalina, Gómez Arancibia",Mujer,21,20.638.070-2,julieta.g16@udec.cl,Universidad de Concepción,+56 9 6139-6812,Ciencias de la Salud,Medicina,2,Practicante en Ginecología,Clínica Los Coihues
"Nicolás Maximiliano, Catalán Campos",Hombre,18,21.954.707-3,n.catalán1@ug.uchile.cl,Universidad de Chile,+56 9 0147-2691,Ciencias de la Salud,Kinesiología,3,Practicante en Neurorehabilitación,Clínica Indisa
"Hernán Felipe, Montes Núñez",Hombre,29,18.130.761-5,hernán.montes@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 7172-7389,Ciencias Sociales y Humanidades,Trabajo Social,8,Practicante en Protección de Menores,Banco Itaú
"Álvaro Joaquín, Gómez Donoso",Hombre,25,19.195.764-6,álvaro.g13@udp.cl,Universidad Diego Portales,+56 9 5351-0819,Ciencias de la Salud,Medicina,5,Practicante en Medicina General,Clínica Alemana Norte
"Rafael Pascual, Avendaño Peña",Hombre,26,19.093.239-3,r.avendaño0@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7217-5957,Ciencias Sociales y Humanidades,Sociología,5,Practicante en Demografía,Banco Estado
"Ingrid Rosa, Silva Vergara",Mujer,20,20.556.232-1,ingrid.s19@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6639-2968,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Logística,Intel
"Valerie Elena, Campos González",Mujer,19,21.448.602-6,v.campos@udec.cl,Universidad de Concepción,+56 9 5085-0656,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Propiedad Intelectual,Banco Itaú
"Paula Ingrid, González Avendaño",Mujer,18,21.695.724-8,p.gonzález@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5440-5677,Ciencias Naturales,Biología,2,Practicante en Ecología,Laboratorio Pfizer
"Luis Antonio, Aravena Cabrera",Hombre,25,19.500.272-9,l.aravena13@userena.cl,Universidad de La Serena,+56 9 9368-2025,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Hidrología,Facebook
"Jorge Rodrigo, Guzmán Contreras",Hombre,30,18.911.227-8,j.guzmán@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4607-1283,Ciencias Sociales y Humanidades,Sociología,8,Practicante en Investigación Social,Universidad de Chile
"Miguel Jorge, Cisternas Mora",Hombre,22,20.225.301-8,miguel.c90@udec.cl,Universidad de Concepción,+56 9 2276-5433,Ciencias Sociales y Humanidades,Trabajo Social,3,Practicante en Asistencia Social,Banco Estado
"Cristián Francisco, Herrera Ibarra",Hombre,25,19.446.183-8,c.herrera26@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1882-5128,Arte y Diseño,Arquitectura,5,Practicante en Restauración Patrimonial,Agencia Leo Burnett
"Tobías Feliciano, Venegas Poblete",Hombre,20,20.997.044-7,tobías.venegas@udp.cl,Universidad Diego Portales,+56 9 6611-5824,Ingeniería y Tecnología,Ingeniería Civil,3,Practicante en Geotecnia,SpaceX
"Gaspar Manuel, Pavez Torres",Hombre,20,20.284.487-3,gaspar.pavez@uai.cl,Universidad Adolfo Ibáñez,+56 9 4935-5316,Ciencias Naturales,Química,3,Practicante en Química Orgánica,Laboratorio Bayer
"Rodrigo Joaquín, Herrera Rivas",Hombre,25,19.362.961-K,r.herrera59@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5967-3110,Ciencias de la Salud,Odontología,6,Practicante en Endodoncia,Clínica Santa María
"Elena Susana, Ibarra Montes",Mujer,30,18.067.507-5,e.ibarra63@ug.uchile.cl,Universidad de Chile,+56 9 2046-1247,Ciencias de la Salud,Kinesiología,6,Practicante en Neurorehabilitación,Clínica Los Coihues
"Paulina Patricia, Valencia Torres",Mujer,18,21.621.688-1,p.valencia44@ug.uchile.cl,Universidad de Chile,+56 9 5611-1404,Ingeniería y Tecnología,Ingeniería Civil Mecánica,1,Practicante en Energías Renovables,Cisco
"Pilar Elena, Ramírez Ramírez",Mujer,28,18.731.528-9,p.ramírez10@ug.uchile.cl,Universidad de Chile,+56 9 8771-6838,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,8,Practicante en Energía Renovable,Microsoft
"Oscar Elias, Díaz Romero",Hombre,27,19.696.940-8,oscar.díaz@ug.uchile.cl,Universidad de Chile,+56 9 5575-1436,Ciencias Naturales,Geología,5,Practicante en Geofísica,Laboratorio Knop
"Hugo Roberto, Fuentes Baeza",Hombre,24,19.195.883-0,h.fuentes72@uv.cl,Universidad de Valparaíso,+56 9 9951-5314,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Automatización,Amazon
"Ricardo Gonzalo, Rivas Donoso",Hombre,28,18.664.191-K,ricardo.r95@uv.cl,Universidad de Valparaíso,+56 9 9622-5668,Ingeniería y Tecnología,Ingeniería Civil,7,Practicante en Obras Civiles,SpaceX
"Ignacio Yerko, Aravena Arancibia",Hombre,30,18.502.422-5,i.aravena@uv.cl,Universidad de Valparaíso,+56 9 3702-5596,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,8,Practicante en Redes Eléctricas,Amazon
"Marisol Elena, Carrasco Rivas",Mujer,24,19.602.303-2,m.carrasco53@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6339-5646,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Fabricación de Maquinaria,Apple
"Antonio Dante, Calderón Espinoza",Hombre,18,21.103.887-1,antonio.calderón@udp.cl,Universidad Diego Portales,+56 9 5829-0413,Ingeniería y Tecnología,Ingeniería Civil en Computación,1,Practicante en Internet de las Cosas,Oracle
"Maximiliano Zenón, Cáceres Cabrera",Hombre,26,19.545.901-0,maximiliano.cáceres@usach.cl,Universidad de Santiago de Chile,+56 9 7679-8748,Ciencias Sociales y Humanidades,Sociología,6,Practicante en Sociología de la Educación,Banco de Chile
"Tobías Felipe, Lara Moreno",Hombre,30,18.653.613-K,t.lara70@usach.cl,Universidad de Santiago de Chile,+56 9 2527-3295,Ingeniería y Tecnología,Ingeniería Civil Industrial,8,Practicante en Consultoría Empresarial,SpaceX
"José Adolfo, Vásquez Pavez",Hombre,23,20.120.057-6,josé.vásquez@uai.cl,Universidad Adolfo Ibáñez,+56 9 7115-4890,Ciencias de la Salud,Medicina,2,Practicante en Pediatría,Hospital San Juan de Dios
"Nelson Homero, Valencia Lillo",Hombre,23,20.791.270-2,n.valencia14@userena.cl,Universidad de La Serena,+56 9 7227-6226,Ciencias de la Salud,Enfermería,4,Practicante en Geriatría,Clínica Dávila
"Raúl Eduardo, Fernández Muñoz",Hombre,23,20.764.304-5,r.fernández@udec.cl,Universidad de Concepción,+56 9 8774-3081,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3,Practicante en Automatización,Apple
"Martín Pedro, Peña Muñoz",Hombre,21,20.225.363-K,martín.peña@uai.cl,Universidad Adolfo Ibáñez,+56 9 5707-4011,Ciencias de la Salud,Enfermería,2,Practicante en Cuidados Intensivos,Clínica Alemana
"Laura Ivonne, Campos Cádiz",Mujer,20,20.931.689-2,l.campos19@udec.cl,Universidad de Concepción,+56 9 2660-7385,Ciencias de la Salud,Medicina,4,Practicante en Pediatría,Hospital San Juan de Dios
"Violeta Carolina, Carvajal Hernández",Mujer,30,18.569.953-0,v.carvajal3@udec.cl,Universidad de Concepción,+56 9 2275-8520,Ingeniería y Tecnología,Ingeniería Civil Industrial,6,Practicante en Optimización de Procesos,Oracle
"Salvador Hugo, Campos Barrios",Hombre,30,18.913.510-7,s.campos@ug.uchile.cl,Universidad de Chile,+56 9 1742-3799,Ciencias Naturales,Geología,8,Practicante en Geología Ambiental,Laboratorio Pfizer
"Zenón Pascual, Ovalle Mora",Hombre,30,18.713.135-0,z.ovalle27@usach.cl,Universidad de Santiago de Chile,+56 9 0648-9189,Ciencias de la Salud,Medicina,7,Practicante en Ginecología,Clínica Alemana
"Rita Verónica, Toledo Sanchez",Mujer,26,19.308.376-2,r.toledo59@ug.uchile.cl,Universidad de Chile,+56 9 6868-1387,Arte y Diseño,Diseño Gráfico,4,Practicante en Agencia de Diseño,Agencia BBDO
"Alicia Isabel, Medina Rivas",Mujer,30,18.320.829-8,a.medina78@ua.cl,Universidad Austral de Chile,+56 9 4534-6637,Ingeniería y Tecnología,Ingeniería Civil Industrial,8,Practicante en Logística,Microsoft
"Ximena Luisa, Catalán Cabrera",Mujer,18,21.260.704-8,x.catalán98@ug.uchile.cl,Universidad de Chile,+56 9 5615-7737,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2,Practicante en Diseño Mecánico,Oracle
"Marcela Wendy, Castro Lara",Mujer,28,18.110.265-4,m.castro56@usach.cl,Universidad de Santiago de Chile,+56 9 3503-6260,Arte y Diseño,Arte Digital,6,Practicante en Edición de Video,Agencia BBDO
"Andrés Maximiliano, Fuentes Ibarra",Hombre,18,21.682.655-4,andrés.f17@ug.uchile.cl,Universidad de Chile,+56 9 7698-6595,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3,Practicante en Redes Eléctricas,Netflix
"Ulises Pedro, Sepúlveda Orellana",Hombre,30,18.991.037-6,ulises.sepúlveda@udp.cl,Universidad Diego Portales,+56 9 5648-9545,Ciencias Naturales,Química,7,Practicante en Química Orgánica,Laboratorio Pfizer
"Ángela Natalia, Arancibia Cabrera",Mujer,29,18.532.356-3,á.arancibia6@ug.uchile.cl,Universidad de Chile,+56 9 4120-7531,Ingeniería y Tecnología,Ingeniería Civil,8,Practicante en Obras Civiles,Microsoft
"Sergio Marco, Gutiérrez Vergara",Hombre,18,21.903.478-6,sergio.g94@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5725-9090,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2,Practicante en Robótica,IBM
"Raquel Sara, Lillo Valencia",Mujer,21,20.400.891-9,r.lillo@uv.cl,Universidad de Valparaíso,+56 9 5650-3788,Ciencias Sociales y Humanidades,Psicología,2,Practicante en Psicología Organizacional,Banco BCI
"Raúl Simón, Pizarro Romero",Hombre,30,18.203.577-8,raúl.pizarro@udp.cl,Universidad Diego Portales,+56 9 2382-3858,Ingeniería y Tecnología,Ingeniería Civil en Computación,8,Practicante en Desarrollo de Software,Intel
"Alejandro Hugo, Sepúlveda Barrios",Hombre,20,20.877.424-7,a.sepúlveda39@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 6088-7368,Arte y Diseño,Arquitectura,4,Practicante en Estudio de Arquitectura,Agencia JWT
"Lucía Emiliana, Riquelme Sanchez",Mujer,20,20.130.302-4,l.riquelme76@ug.uchile.cl,Universidad de Chile,+56 9 6969-4375,Ciencias Naturales,Química,2,Practicante en Química Inorgánica,Laboratorio Pasteur
"Nemesio César, Cáceres Figueroa",Hombre,27,19.020.812-4,n.cáceres84@ug.uchile.cl,Universidad de Chile,+56 9 3289-4989,Ciencias de la Salud,Odontología,6,Practicante en Ortodoncia,Clínica Las Condes
"Waldo Federico, Herrera Osorio",Hombre,29,18.350.966-8,w.herrera85@udec.cl,Universidad de Concepción,+56 9 8247-7259,Ciencias Naturales,Física,8,Practicante en Óptica y Fotónica,Laboratorio Bayer
"Francisca Olga, Valenzuela Gómez",Mujer,25,19.265.706-0,francisca.v66@uai.cl,Universidad Adolfo Ibáñez,+56 9 5394-9992,Arte y Diseño,Arte Digital,6,Practicante en Animación y Modelado 3D,Agencia Young & Rubicam
"Ingrid Lucía, Fuentes Toro",Mujer,23,20.903.446-K,i.fuentes71@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7776-6992,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3,Practicante en Energías Renovables,Apple
"Daniel Hernán, Fuentes Araya",Hombre,25,19.407.204-4,d.fuentes21@usach.cl,Universidad de Santiago de Chile,+56 9 3086-3687,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Logística,Netflix
"Olga Elena, Poblete Torres",Mujer,26,19.359.882-K,olga.poblete@udec.cl,Universidad de Concepción,+56 9 3844-7033,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Automatización,Oracle
"Hernán Zenón, Catalán Navarro",Hombre,23,20.577.425-9,hernán.c60@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3227-4513,Arte y Diseño,Arquitectura,4,Practicante en Urbanismo,Agencia Young & Rubicam
"Rubén Mauricio, Vergara Donoso",Hombre,18,21.004.064-4,r.vergara22@ug.uchile.cl,Universidad de Chile,+56 9 6344-8838,Ciencias de la Salud,Kinesiología,1,Practicante en Kinesiología Pediátrica,Hospital San Juan de Dios
"Ricardo Juan, Suárez Orellana",Hombre,29,18.325.036-8,ricardo.suárez@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 2936-9150,Ciencias Naturales,Química,8,Practicante en Química Inorgánica,Laboratorio Chile
"Luis Pedro, López Oyarzún",Hombre,29,18.794.950-K,l.lópez4@uv.cl,Universidad de Valparaíso,+56 9 0961-1079,Arte y Diseño,Diseño Gráfico,7,Practicante en Identidad Corporativa,Agencia McCann
"Gonzalo Alejandro, Vergara Muñoz",Hombre,25,19.520.170-8,g.vergara50@ug.uchile.cl,Universidad de Chile,+56 9 4179-0639,Arte y Diseño,Arte Digital,6,Practicante en Edición de Video,Agencia JWT
"Andrés Osvaldo, Bravo Moreno",Hombre,28,18.722.976-9,a.bravo63@ug.uchile.cl,Universidad de Chile,+56 9 1142-6432,Arte y Diseño,Arquitectura,6,Practicante en Estudio de Arquitectura,Agencia Young & Rubicam
"Ruth Isabella, Espinoza Castro",Mujer,18,21.086.639-K,ruth.e29@uai.cl,Universidad Adolfo Ibáñez,+56 9 9709-9291,Ciencias Naturales,Física,1,Practicante en Astrofísica,Laboratorio Bayer
"Elisa Ximena, Gutiérrez Campos",Mujer,19,21.843.309-K,e.gutiérrez@ug.uchile.cl,Universidad de Chile,+56 9 6950-8281,Ciencias Sociales y Humanidades,Trabajo Social,3,Practicante en Trabajo Social de Salud,Banco de Chile
"Valentín René, Calderón Aravena",Hombre,18,21.566.294-K,v.calderón81@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1611-3725,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Gestión de Proyectos,Microsoft
"Xavier Julio, Soto Campos",Hombre,25,19.774.542-7,xavier.soto@udec.cl,Universidad de Concepción,+56 9 1135-8715,Ciencias Naturales,Química,5,Practicante en Química Analítica,Laboratorio Roche
"Miguel Rodrigo, Sanchez Leiva",Hombre,20,20.218.740-4,m.sanchez11@ug.uchile.cl,Universidad de Chile,+56 9 8657-1062,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2,Practicante en Sistemas de Control,Tesla
"Patricio Mauricio, Avendaño Álvarez",Hombre,28,18.714.852-5,p.avendaño60@ug.uchile.cl,Universidad de Chile,+56 9 6051-4074,Ciencias de la Salud,Kinesiología,7,Practicante en Neurorehabilitación,Clínica Alemana
"Delfina Beatriz, Martínez López",Mujer,18,21.164.435-K,delfina.martínez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8086-9017,Ciencias Sociales y Humanidades,Sociología,3,Practicante en Investigación Social,Universidad de Santiago de Chile
"Tatiana Delfina, Silva Gómez",Mujer,25,19.553.491-8,t.silva16@uai.cl,Universidad Adolfo Ibáñez,+56 9 3943-7207,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Energía Renovable,SpaceX
"Carmen Yasna, Lara Palma",Mujer,27,19.059.277-6,c.lara77@udec.cl,Universidad de Concepción,+56 9 1971-7627,Ciencias Sociales y Humanidades,Trabajo Social,6,Practicante en Intervención Comunitaria,Universidad de Chile
"Mónica Gabriela, Villalobos Campos",Mujer,24,19.579.023-5,mónica.villalobos@ug.uchile.cl,Universidad de Chile,+56 9 0085-2530,Arte y Diseño,Diseño Gráfico,6,Practicante en Ilustración Digital,Agencia DDB
"Pilar Emilia, Espinoza Pérez",Mujer,29,18.642.854-7,pilar.espinoza@udp.cl,Universidad Diego Portales,+56 9 0436-1843,Ingeniería y Tecnología,Ingeniería Civil Industrial,8,Practicante en Gestión de Proyectos,Cisco
"Roberto Claudio, Carrasco Pavez",Hombre,23,20.374.669-6,r.carrasco@ug.uchile.cl,Universidad de Chile,+56 9 0436-6973,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Vías y Transporte,Microsoft
"Antonia Celia, Martínez Orellana",Mujer,18,21.736.194-9,antonia.martínez@ug.uchile.cl,Universidad de Chile,+56 9 8487-3897,Ciencias Sociales y Humanidades,Psicología,2,Practicante en Psicología Escolar,Banco de Chile
"Adolfo Joaquín, Araya Moreno",Hombre,29,18.635.691-8,a.araya50@udec.cl,Universidad de Concepción,+56 9 1528-5779,Ciencias Naturales,Química,8,Practicante en Química Orgánica,Laboratorio Chile
"Carolina Cecilia, Venegas Avendaño",Mujer,22,20.876.099-2,c.venegas28@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6307-5218,Arte y Diseño,Diseño Gráfico,2,Practicante en Diseño de Packaging,Agencia Saatchi & Saatchi
"Raquel Magdalena, Muñoz Rivas",Mujer,27,19.585.860-2,r.muñoz82@ug.uchile.cl,Universidad de Chile,+56 9 8723-5907,Ingeniería y Tecnología,Ingeniería Civil,5,Practicante en Vías y Transporte,Intel
"Roberto Javier, Poblete Avendaño",Hombre,20,20.256.614-8,r.poblete@udec.cl,Universidad de Concepción,+56 9 8226-6955,Ciencias de la Salud,Odontología,3,Practicante en Odontopediatría,Clínica Alemana Norte
"Ingrid Luisa, Aravena Venegas",Mujer,30,18.880.827-6,ingrid.aravena@ug.uchile.cl,Universidad de Chile,+56 9 4322-0105,Ciencias de la Salud,Medicina,6,Practicante en Cardiología,Clínica Dávila
"Urbano Luis, Sanchez Castro",Hombre,18,21.783.786-4,u.sanchez28@ua.cl,Universidad Austral de Chile,+56 9 1950-6153,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2,Practicante en Electrónica de Potencia,Tesla
"Susana Gabriela, Rivas Guzmán",Mujer,19,21.918.806-5,s.rivas@ug.uchile.cl,Universidad de Chile,+56 9 2820-5632,Ciencias Sociales y Humanidades,Trabajo Social,3,Practicante en Trabajo Social Penitenciario,Banco de Chile
"Elena Yolanda, Cabrera Cortés",Mujer,24,19.055.087-K,e.cabrera@ua.cl,Universidad Austral de Chile,+56 9 7618-7846,Arte y Diseño,Arquitectura,6,Practicante en Restauración Patrimonial,Agencia DDB
"Camila Isabella, Salazar Palma",Mujer,21,20.960.499-4,c.salazar@udec.cl,Universidad de Concepción,+56 9 3479-3593,Ingeniería y Tecnología,Ingeniería Civil,3,Practicante en Obras Civiles,Netflix
"Carlos Rubén, Ortega Rojas",Hombre,20,20.089.895-5,c.ortega@usach.cl,Universidad de Santiago de Chile,+56 9 3724-6058,Ingeniería y Tecnología,Ingeniería Civil Industrial,2,Practicante en Logística,Oracle
"Celia Antonia, Toledo Silva",Mujer,27,19.138.541-5,c.toledo49@uv.cl,Universidad de Valparaíso,+56 9 3369-2474,Ciencias de la Salud,Medicina,6,Practicante en Ginecología,Clínica Santa María
"Felipe Gonzalo, Sáez Lagos",Hombre,26,19.914.671-8,f.sáez@udp.cl,Universidad Diego Portales,+56 9 1405-4068,Ciencias Sociales y Humanidades,Psicología,5,Practicante en Psicología Organizacional,Banco BCI
"Susana Belen, Medina Lara",Mujer,20,20.836.567-2,s.medina@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1150-8991,Ingeniería y Tecnología,Ingeniería Civil Industrial,3,Practicante en Consultoría Empresarial,Apple
"Salvador Francisco, Ríos Araya",Hombre,25,19.396.022-3,salvador.r31@ug.uchile.cl,Universidad de Chile,+56 9 0898-4520,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6,Practicante en Robótica,SpaceX
"Antonio Hernán, Valdés Baeza",Hombre,18,21.693.507-0,a.valdés@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3912-5473,Ciencias de la Salud,Kinesiología,2,Practicante en Fisioterapia Deportiva,Clínica Los Coihues
"Fernando Leandro, Donoso Palma",Hombre,30,18.553.338-3,fernando.d79@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5281-0415,Ciencias Sociales y Humanidades,Derecho,8,Practicante en Derecho Familiar,Universidad de Chile
