nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año
"Guillermo Francisco, Carrasco Pérez",M,19,21.817.925-5,g.carrasco@usach.cl,Universidad de Santiago de Chile,+56 9 7095-0954,Ciencias de la Salud,Odontología,1
"Pía Valentina, Cáceres Flores",F,26,19.779.738-5,pía.c3@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8714-7954,Ingeniería y Tecnología,Ingeniería Civil,5
"Rubén Ximeno, Valenzuela Araya",M,22,20.268.444-K,r.valenzuela72@userena.cl,Universidad de La Serena,+56 9 6847-6337,Arte y Diseño,Diseño Gráfico,4
"Nelson Tobías, Valdés Peña",M,18,21.856.600-3,n.valdés55@ug.uchile.cl,Universidad de Chile,+56 9 1139-7884,Ciencias Sociales y Humanidades,Sociología,3
"Andrea Rosa, Arancibia Lillo",F,25,19.674.196-6,a.arancibia97@uai.cl,Universidad Adolfo Ibáñez,+56 9 5192-1740,Arte y Diseño,Arte Digital,4
"Oscar Valentín, Ramírez Campos",M,30,18.210.825-5,oscar.r87@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8397-6140,Arte y Diseño,Diseño Gráfico,7
"Celia Andrea, Ortiz Donoso",F,30,18.705.200-3,c.ortiz77@ug.uchile.cl,Universidad de Chile,+56 9 5227-2159,Ingeniería y Tecnología,Ingeniería Civil Industrial,8
"Verónica Vanessa, Carvajal Garrido",F,24,19.768.594-2,v.carvajal55@uai.cl,Universidad Adolfo Ibáñez,+56 9 2327-2538,Ingeniería y Tecnología,Ingeniería Civil,4
"Isabel Rocío, Ovalle Venegas",F,18,21.600.159-4,i.ovalle44@udec.cl,Universidad de Concepción,+56 9 5377-8780,Ingeniería y Tecnología,Ingeniería Civil,2
"Salvador Dante, Cádiz Morales",M,26,19.414.425-0,s.cádiz0@uv.cl,Universidad de Valparaíso,+56 9 2239-0632,Ciencias Sociales y Humanidades,Derecho,4
"Ulises Zenón, Herrera Riquelme",M,23,20.782.441-0,u.herrera@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3049-5056,Ciencias de la Salud,Kinesiología,4
"Valentín Sebastián, Morales López",M,23,20.059.964-1,v.morales90@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7901-2701,Ciencias de la Salud,Odontología,4
"Marcelo Urbano, Sanchez Lagos",M,18,21.107.130-8,m.sanchez@ug.uchile.cl,Universidad de Chile,+56 9 6605-7195,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2
"Roberto Patricio, Medina Bravo",M,23,20.840.178-0,roberto.medina@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5272-1758,Ingeniería y Tecnología,Ingeniería Civil Industrial,4
"Julio Ramón, Mendoza Catalán",M,30,18.792.148-1,j.mendoza@udec.cl,Universidad de Concepción,+56 9 4491-5650,Ciencias de la Salud,Odontología,8
"Ximena Beatriz, Vásquez Avendaño",F,30,18.805.618-9,x.vásquez@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3221-1173,Ciencias de la Salud,Medicina,6
"Waldo Héctor, Cabrera Mendoza",M,19,21.691.049-6,w.cabrera97@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4932-1110,Arte y Diseño,Arquitectura,3
"Yerko José, Gutiérrez Sepúlveda",M,26,19.410.541-6,y.gutiérrez@uv.cl,Universidad de Valparaíso,+56 9 1152-3410,Ciencias de la Salud,Odontología,6
"Cristina Valerie, Sáez Riquelme",F,26,19.626.807-9,c.sáez57@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 8335-4473,Ciencias Sociales y Humanidades,Sociología,5
"Franco Marco, Carvajal Calderón",M,24,19.036.314-2,f.carvajal57@udec.cl,Universidad de Concepción,+56 9 6717-1528,Ciencias Sociales y Humanidades,Sociología,6
"Marco Roberto, Moreno Valenzuela",M,23,20.368.836-4,m.moreno73@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0616-3713,Arte y Diseño,Arquitectura,2
"Urbano Waldo, Toledo Poblete",M,23,20.256.366-7,urbano.toledo@ug.uchile.cl,Universidad de Chile,+56 9 2953-9191,Ciencias Sociales y Humanidades,Sociología,3
"Susana Lucía, Ortega Herrera",F,25,19.821.705-1,s.ortega90@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4849-2372,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Waldo Ricardo, Valencia Villalobos",M,25,19.674.910-6,w.valencia66@udec.cl,Universidad de Concepción,+56 9 3637-9649,Ciencias de la Salud,Medicina,4
"Marcela Antonella, Baeza Bravo",F,21,20.977.097-6,marcela.baeza@ug.uchile.cl,Universidad de Chile,+56 9 9649-4541,Ciencias de la Salud,Kinesiología,3
"Rocío Catalina, Vásquez Fuentes",F,19,21.226.006-4,rocío.v90@udec.cl,Universidad de Concepción,+56 9 0412-0612,Arte y Diseño,Arquitectura,2
"Pedro Daniel, Orellana Montes",M,22,20.773.792-8,p.orellana9@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3597-1576,Arte y Diseño,Arquitectura,4
"Antonella Cristina, Núñez Espinoza",F,29,18.647.927-6,antonella.n81@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2881-5425,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Claudio Fernando, Carrasco Medina",M,23,20.822.638-8,claudio.carrasco@udec.cl,Universidad de Concepción,+56 9 5675-4424,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Flavio Rafael, Villalobos Pérez",M,23,20.143.268-K,f.villalobos20@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6959-2327,Ciencias Sociales y Humanidades,Sociología,4
"Víctor Simón, Moreno Suárez",M,26,19.974.210-1,v.moreno78@udec.cl,Universidad de Concepción,+56 9 8998-8414,Ingeniería y Tecnología,Ingeniería Civil,4
"Leandro Rafael, Gutiérrez Poblete",M,22,20.255.937-8,leandro.gutiérrez@ug.uchile.cl,Universidad de Chile,+56 9 2036-5698,Ciencias Sociales y Humanidades,Psicología,4
"Miguel Nicolás, Lara Ortiz",M,19,21.623.827-9,miguel.l85@ug.uchile.cl,Universidad de Chile,+56 9 0820-3043,Ciencias Naturales,Geología,2
"Carolina Marisol, Araya Sanchez",F,29,18.773.476-5,carolina.araya@ua.cl,Universidad Austral de Chile,+56 9 5825-1045,Ciencias de la Salud,Enfermería,6
"Cecilia Olga, Baeza Rojas",F,24,19.739.675-2,c.baeza@ug.uchile.cl,Universidad de Chile,+56 9 1445-3187,Ciencias de la Salud,Enfermería,4
"Lorena Luz, Leiva Palma",F,29,18.783.889-K,lorena.leiva@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8684-1031,Ciencias de la Salud,Kinesiología,6
"Patricio Zenón, Rodríguez Lillo",M,25,19.579.076-3,p.rodríguez71@ug.uchile.cl,Universidad de Chile,+56 9 4543-9583,Ciencias Sociales y Humanidades,Sociología,5
"Rafael Daniel, Flores Catalán",M,18,21.337.027-2,r.flores18@ug.uchile.cl,Universidad de Chile,+56 9 0860-7428,Ingeniería y Tecnología,Ingeniería Civil,1
"Cristián Rubén, Poblete Tapia",M,21,20.272.946-5,c.poblete39@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5576-1986,Arte y Diseño,Arte Digital,2
"Constanza Eva, Arancibia Villanueva",F,20,20.867.132-3,c.arancibia23@userena.cl,Universidad de La Serena,+56 9 6221-3800,Ingeniería y Tecnología,Ingeniería Civil,2
"Renato Cristián, Flores Bustos",M,25,19.658.171-2,renato.flores@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4688-5195,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Flavio Elias, Valencia Carvajal",M,25,19.856.470-0,f.valencia@udec.cl,Universidad de Concepción,+56 9 1204-1274,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Gaspar Mauricio, Cabrera Cabrera",M,22,20.638.429-K,g.cabrera@udec.cl,Universidad de Concepción,+56 9 7455-7762,Ciencias Sociales y Humanidades,Sociología,2
"Quintín Leonardo, Barrios Martínez",M,24,19.798.953-6,quintín.b6@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8230-4379,Ciencias Naturales,Geología,4
"Pedro Álvaro, Bravo Aravena",M,27,19.406.250-9,pedro.bravo@udp.cl,Universidad Diego Portales,+56 9 1661-1325,Ciencias Sociales y Humanidades,Sociología,6
"Teobaldo Cristián, Herrera Toledo",M,23,20.060.513-7,t.herrera18@udec.cl,Universidad de Concepción,+56 9 9898-3085,Ciencias de la Salud,Kinesiología,3
"Marisol Isabel, Ávila Osorio",F,28,18.353.833-K,m.ávila@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2780-0600,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,8
"Elias Roberto, Ávila Carvajal",M,22,20.360.792-2,e.ávila22@uv.cl,Universidad de Valparaíso,+56 9 6527-6777,Ciencias de la Salud,Enfermería,4
"Marco Gonzalo, Riquelme Salazar",M,27,19.877.639-4,m.riquelme22@udp.cl,Universidad Diego Portales,+56 9 5286-7632,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Oscar Xavier, Lillo Campos",M,28,18.515.191-5,oscar.l80@udec.cl,Universidad de Concepción,+56 9 8683-0752,Ciencias Naturales,Física,8
"Carlos Iván, Gutiérrez Lillo",M,22,20.597.143-9,carlos.gutiérrez@uai.cl,Universidad Adolfo Ibáñez,+56 9 3969-9132,Ciencias de la Salud,Enfermería,4
"Víctor Homero, González Hernández",M,20,20.554.963-5,v.gonzález84@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9042-3617,Ingeniería y Tecnología,Ingeniería Civil,4
"Lorena Valeria, Suárez Morales",F,23,20.484.487-7,lorena.suárez@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1775-8309,Ciencias Sociales y Humanidades,Psicología,3
"Sara María, Ávila Riquelme",F,30,18.782.932-4,sara.ávila@ug.uchile.cl,Universidad de Chile,+56 9 7485-5620,Ciencias Naturales,Biología,6
"Zenón Pedro, Carvajal Sandoval",M,25,19.559.006-9,zenón.carvajal@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2848-1983,Ciencias Naturales,Biología,6
"Pedro Hernán, Suárez Peña",M,20,20.290.077-7,p.suárez@ug.uchile.cl,Universidad de Chile,+56 9 0543-2850,Ciencias de la Salud,Medicina,2
"Patricio Teobaldo, Aguilera Aravena",M,30,18.779.706-0,patricio.a11@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7878-3675,Arte y Diseño,Arte Digital,6
"Kelvin Cristián, Calderón Vidal",M,25,19.880.530-8,k.calderón@usach.cl,Universidad de Santiago de Chile,+56 9 8435-7563,Ciencias de la Salud,Kinesiología,5
"Cristina Josefina, Baeza Hernández",F,27,19.543.756-9,cristina.baeza@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2930-2631,Ciencias de la Salud,Enfermería,5
"Lucía Victoria, Figueroa Sepúlveda",F,27,19.827.376-7,lucía.figueroa@udec.cl,Universidad de Concepción,+56 9 6495-6182,Ciencias Sociales y Humanidades,Derecho,6
"Raquel Ximena, Valdés Poblete",F,26,19.653.633-1,raquel.valdés@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8235-0475,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Verónica Diana, López Osorio",F,29,18.489.505-2,verónica.l42@udec.cl,Universidad de Concepción,+56 9 8199-2880,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"René Emilio, Palma Rojas",M,28,18.003.315-4,r.palma@ug.uchile.cl,Universidad de Chile,+56 9 5283-9618,Ciencias de la Salud,Kinesiología,6
"Valentín Marcelo, Ortega Vargas",M,18,21.775.191-1,v.ortega@ug.uchile.cl,Universidad de Chile,+56 9 7689-0759,Ciencias Sociales y Humanidades,Trabajo Social,3
"Martín Álvaro, Vergara Lara",M,23,20.381.685-6,martín.vergara@uai.cl,Universidad Adolfo Ibáñez,+56 9 6512-3445,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Violeta Rocío, Tapia Santos",F,18,21.493.769-8,violeta.t44@uai.cl,Universidad Adolfo Ibáñez,+56 9 6580-5681,Ingeniería y Tecnología,Ingeniería Civil,3
"Nemesio Eugenio, Calderón Escobar",M,23,20.238.700-5,nemesio.c17@uai.cl,Universidad Adolfo Ibáñez,+56 9 1646-7120,Ciencias Naturales,Biología,2
"Félix Carlos, Vidal Donoso",M,21,20.968.039-5,f.vidal53@usach.cl,Universidad de Santiago de Chile,+56 9 7698-0797,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Félix Víctor, Rojas López",M,24,19.329.656-6,f.rojas90@ug.uchile.cl,Universidad de Chile,+56 9 1384-2060,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Elena Alicia, Carrasco Lagos",F,19,21.274.767-4,elena.c93@udp.cl,Universidad Diego Portales,+56 9 6096-0595,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2
"Pedro Jorge, Navarro Toro",M,21,20.822.774-5,pedro.n44@userena.cl,Universidad de La Serena,+56 9 8315-7490,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Ignacio Osvaldo, Lagos Silva",M,18,21.007.438-6,ignacio.lagos@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 7254-0977,Ciencias Sociales y Humanidades,Trabajo Social,2
"Mónica Valeria, Vidal Sepúlveda",F,26,19.653.629-7,m.vidal90@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5800-9988,Ciencias Naturales,Física,4
"Marco Pedro, Ortiz Cádiz",M,18,21.472.130-K,m.ortiz@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6294-9633,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2
"Francisca Olga, Medina Contreras",F,22,20.042.073-9,f.medina57@ua.cl,Universidad Austral de Chile,+56 9 8377-6567,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Jorge Tobías, Lagos Orellana",M,24,19.549.329-3,j.lagos1@ua.cl,Universidad Austral de Chile,+56 9 7206-6043,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Elena Teresa, Catalán Leiva",F,26,19.826.919-5,elena.c59@udp.cl,Universidad Diego Portales,+56 9 7751-5831,Arte y Diseño,Arte Digital,6
"Mauricio Homero, Orellana Valdés",M,23,20.556.706-7,mauricio.o11@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8715-0856,Arte y Diseño,Arte Digital,4
"Josefina Yasna, Vásquez Soto",F,20,20.443.106-5,j.vásquez@ug.uchile.cl,Universidad de Chile,+56 9 5803-7175,Ciencias de la Salud,Enfermería,2
"Iván Oscar, Oyarzún Donoso",M,25,19.447.241-6,i.oyarzún@ug.uchile.cl,Universidad de Chile,+56 9 6701-3103,Ciencias de la Salud,Medicina,6
"Zenón Ulises, Carvajal Montes",M,22,20.751.082-3,zenón.carvajal@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2244-0911,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Eugenia Mireya, Herrera Toro",F,25,19.594.946-4,e.herrera12@ua.cl,Universidad Austral de Chile,+56 9 8723-1373,Ciencias Sociales y Humanidades,Sociología,5
"Rocío Carmen, Valenzuela Romero",F,29,18.130.071-4,r.valenzuela@ua.cl,Universidad Austral de Chile,+56 9 1339-0127,Ingeniería y Tecnología,Ingeniería Civil,7
"Diego Osvaldo, Soto Pizarro",M,19,21.509.194-1,d.soto73@userena.cl,Universidad de La Serena,+56 9 8653-3295,Ciencias de la Salud,Medicina,3
"Pedro Rafael, Figueroa Cádiz",M,21,20.437.697-1,p.figueroa4@ug.uchile.cl,Universidad de Chile,+56 9 9769-9585,Ciencias de la Salud,Medicina,3
"Eugenia Susana, Toledo Garrido",F,19,21.864.120-K,eugenia.t87@userena.cl,Universidad de La Serena,+56 9 5092-3201,Ciencias de la Salud,Medicina,1
"Javiera Lourdes, Cádiz Carvajal",F,27,19.084.092-6,j.cádiz43@udec.cl,Universidad de Concepción,+56 9 6013-8299,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Ernesto Jacinto, Lillo Aguilera",M,22,20.212.627-5,e.lillo50@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0093-8053,Ciencias Sociales y Humanidades,Sociología,4
"Ximena Sofía, Torres Navarro",F,30,18.457.090-5,x.torres15@udec.cl,Universidad de Concepción,+56 9 3623-2799,Ciencias Sociales y Humanidades,Derecho,8
"Valentín Raúl, Villanueva Valenzuela",M,29,18.383.971-8,v.villanueva@ug.uchile.cl,Universidad de Chile,+56 9 5208-9550,Ciencias de la Salud,Odontología,6
"Teobaldo Flavio, Rodríguez Aguilera",M,23,20.571.605-7,t.rodríguez51@udec.cl,Universidad de Concepción,+56 9 4940-7720,Ciencias Naturales,Geología,4
"Luciano Zenón, Núñez González",M,28,18.936.879-5,l.núñez1@ug.uchile.cl,Universidad de Chile,+56 9 6011-1081,Ingeniería y Tecnología,Ingeniería Civil,6
"Yago Teobaldo, Cortés Fuentes",M,28,18.440.872-6,yago.cortés@ug.uchile.cl,Universidad de Chile,+56 9 2183-1066,Ciencias de la Salud,Medicina,6
"Renata Ignacia, Barrios Bustos",F,27,19.211.454-1,renata.barrios@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5963-7568,Ciencias de la Salud,Medicina,4
"Alejandro Alejandro, Castro Romero",M,30,18.860.203-K,a.castro@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1331-1529,Ciencias Naturales,Química,6
"Patricio Manuel, Baeza Baeza",M,22,20.450.429-1,p.baeza@ug.uchile.cl,Universidad de Chile,+56 9 7476-9800,Ciencias de la Salud,Kinesiología,4
"Benjamín Raúl, Núñez Medina",M,30,18.404.076-1,b.núñez21@udec.cl,Universidad de Concepción,+56 9 1641-0108,Ciencias Naturales,Química,8
"Xavier Raúl, Orellana Ríos",M,26,19.212.254-1,x.orellana41@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2559-5258,Ciencias Naturales,Geología,6
"Rafael Raúl, Lagos Toledo",M,21,20.511.859-1,r.lagos@ug.uchile.cl,Universidad de Chile,+56 9 8335-9554,Ingeniería y Tecnología,Ingeniería Civil,2
"Tobías Ramón, Herrera Vásquez",M,22,20.041.646-2,t.herrera@uv.cl,Universidad de Valparaíso,+56 9 7865-7037,Arte y Diseño,Diseño Gráfico,4
"Simón Salvador, Sáez Contreras",M,22,20.028.550-5,s.sáez@udec.cl,Universidad de Concepción,+56 9 9190-5089,Ciencias Sociales y Humanidades,Sociología,3
"Xavier Sebastián, Ibarra Venegas",M,30,18.880.239-8,xavier.ibarra@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 9038-4008,Ciencias Sociales y Humanidades,Psicología,7
"Daniel Nelson, Avendaño Ramírez",M,18,21.198.701-0,d.avendaño3@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3682-1033,Ingeniería y Tecnología,Ingeniería Civil,1
"Manuel Renato, Díaz Lagos",M,30,18.523.544-K,m.díaz@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8708-6152,Ingeniería y Tecnología,Ingeniería Civil,6
"Ricardo Nemesio, Cáceres Avendaño",M,26,19.587.880-3,r.cáceres@ug.uchile.cl,Universidad de Chile,+56 9 8412-8633,Ciencias de la Salud,Medicina,5
"Marco Oscar, Quinteros Pavez",M,18,21.015.421-2,marco.q85@udp.cl,Universidad Diego Portales,+56 9 1778-0693,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Delfina Gabriela, Villanueva Ortega",F,29,18.146.656-3,delfina.v9@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2002-1428,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8
"Félix Franco, Riquelme Villalobos",M,25,19.107.205-6,félix.r34@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1333-1753,Arte y Diseño,Arte Digital,6
"Zenón Alberto, Cáceres Bravo",M,19,21.884.629-8,zenón.cáceres@uv.cl,Universidad de Valparaíso,+56 9 9561-1768,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Miguel Nelson, Arancibia Villalobos",M,18,21.757.100-6,miguel.arancibia@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5726-2729,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1
"Diego Roberto, Sáez Rivas",M,23,20.917.960-2,diego.sáez@ug.uchile.cl,Universidad de Chile,+56 9 4879-6681,Ciencias Naturales,Química,4
"Víctor Xavier, Osorio Peña",M,26,19.007.634-2,víctor.o16@ua.cl,Universidad Austral de Chile,+56 9 3036-9822,Arte y Diseño,Arquitectura,6
"Sebastián Manuel, Valenzuela Cabrera",M,21,20.060.987-3,sebastián.v85@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9586-9613,Ciencias de la Salud,Medicina,2
"Marisol Lourdes, Montes Escobar",F,18,21.998.841-0,marisol.montes@ug.uchile.cl,Universidad de Chile,+56 9 9343-8751,Ciencias Sociales y Humanidades,Psicología,2
"Sergio Nemesio, Vergara Santos",M,23,20.114.820-6,s.vergara13@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 9966-3756,Ciencias Sociales y Humanidades,Sociología,2
"Héctor Camilo, Torres Reyes",M,18,21.796.399-2,héctor.torres@ug.uchile.cl,Universidad de Chile,+56 9 0603-9077,Ciencias Naturales,Física,1
"Yolanda Patricia, Garrido Montes",F,18,21.295.319-4,y.garrido55@ug.uchile.cl,Universidad de Chile,+56 9 2213-9161,Arte y Diseño,Diseño Gráfico,1
"Delfina Wendy, Aravena Guzmán",F,20,20.215.726-7,d.aravena35@ua.cl,Universidad Austral de Chile,+56 9 6199-7534,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Verónica Yolanda, Jiménez Aguilera",F,27,19.887.139-5,v.jiménez82@ug.uchile.cl,Universidad de Chile,+56 9 9609-2062,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Guillermo Osvaldo, Aguilera Vásquez",M,19,21.796.102-K,g.aguilera77@ua.cl,Universidad Austral de Chile,+56 9 3867-4066,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1
"Franco Marco, Calderón Romero",M,22,20.605.024-3,f.calderón@udec.cl,Universidad de Concepción,+56 9 5519-1301,Ciencias Naturales,Biología,2
"Mónica Belen, Baeza Arancibia",F,28,18.590.127-7,m.baeza64@udp.cl,Universidad Diego Portales,+56 9 2511-4171,Ciencias de la Salud,Odontología,8
"Gaspar Ricardo, Tapia Núñez",M,19,21.214.797-9,gaspar.tapia@udec.cl,Universidad de Concepción,+56 9 7947-8370,Ciencias de la Salud,Odontología,2
"Pascual Antonio, Salazar Fernández",M,25,19.932.696-5,pascual.salazar@udec.cl,Universidad de Concepción,+56 9 5312-9868,Ingeniería y Tecnología,Ingeniería Civil,4
"Ximena Diana, Rodríguez Herrera",F,30,18.663.581-K,ximena.r91@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 7845-7968,Ciencias Naturales,Química,7
"Javiera Elena, Morales Avendaño",F,30,18.245.376-5,j.morales82@udec.cl,Universidad de Concepción,+56 9 7633-5953,Ciencias Naturales,Biología,7
"Homero Hernán, Toledo Jiménez",M,27,19.224.709-5,h.toledo34@usach.cl,Universidad de Santiago de Chile,+56 9 2162-3321,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Waldo Gaspar, Venegas Romero",M,20,20.651.191-2,waldo.venegas@udec.cl,Universidad de Concepción,+56 9 1434-3533,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2
"Zenón Felipe, Moreno Valdés",M,22,20.807.677-8,z.moreno@ug.uchile.cl,Universidad de Chile,+56 9 3822-3638,Ciencias Sociales y Humanidades,Derecho,4
"Héctor Ernesto, Escobar Sáez",M,20,20.714.763-0,héctor.e54@ug.uchile.cl,Universidad de Chile,+56 9 0958-5410,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Valerie Ximena, Flores Álvarez",F,30,18.114.441-3,v.flores@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3566-5261,Ingeniería y Tecnología,Ingeniería Civil,8
"Franco Tobías, Sepúlveda Poblete",M,18,21.614.328-4,f.sepúlveda@uai.cl,Universidad Adolfo Ibáñez,+56 9 0370-4530,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1
"Emilio Claudio, Ramírez Rojas",M,28,18.314.885-2,e.ramírez@udec.cl,Universidad de Concepción,+56 9 3209-6389,Ingeniería y Tecnología,Ingeniería Civil en Computación,7
"Víctor Teobaldo, Salazar Rodríguez",M,24,19.355.556-0,v.salazar@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8491-2595,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Marisol Rocío, Villalobos Reyes",F,19,21.189.637-3,marisol.v58@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8442-3639,Ciencias de la Salud,Medicina,1
"Gaspar Eugenio, Salazar Oyarzún",M,26,19.205.617-7,gaspar.salazar@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3907-6848,Ciencias Sociales y Humanidades,Psicología,4
"Montserrat Mónica, Gutiérrez Hernández",F,29,18.687.691-2,m.gutiérrez18@udec.cl,Universidad de Concepción,+56 9 8062-7004,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Teresa Andrea, Jiménez Campos",F,20,20.796.791-8,t.jiménez63@udec.cl,Universidad de Concepción,+56 9 0026-5881,Ingeniería y Tecnología,Ingeniería Civil,3
"Emiliana Mireya, Carrasco Cuevas",F,30,18.031.753-7,emiliana.carrasco@uai.cl,Universidad Adolfo Ibáñez,+56 9 7422-9469,Ciencias Naturales,Biología,7
"Miguel Manuel, Baeza Rodríguez",M,26,19.000.383-7,m.baeza@ug.uchile.cl,Universidad de Chile,+56 9 7695-2005,Ciencias de la Salud,Enfermería,4
"Ingrid Lucía, Fariña Álvarez",F,19,21.807.619-2,i.fariña@ug.uchile.cl,Universidad de Chile,+56 9 0921-7215,Ciencias Sociales y Humanidades,Trabajo Social,1
"Teobaldo Pedro, Jiménez Toro",M,23,20.529.789-3,teobaldo.j70@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4230-1731,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"René Benjamín, Carvajal Baeza",M,25,19.017.771-3,r.carvajal8@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3872-9664,Ingeniería y Tecnología,Ingeniería Civil,4
"Ernesto Gaspar, Vargas Espinoza",M,28,18.370.033-7,e.vargas18@ug.uchile.cl,Universidad de Chile,+56 9 3284-5286,Ingeniería y Tecnología,Ingeniería Civil en Computación,8
"Rafael Alejandro, Jiménez Cortés",M,26,19.336.928-8,r.jiménez@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1476-0165,Ciencias Naturales,Química,5
"Héctor Héctor, Salazar Díaz",M,30,18.091.684-1,h.salazar37@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4678-3926,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8
"Marjorie Lucía, Ortiz Cabrera",F,23,20.572.615-9,marjorie.ortiz@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0085-3673,Ingeniería y Tecnología,Ingeniería Civil en Computación,2
"Homero Elias, González Moreno",M,24,19.338.826-K,h.gonzález99@userena.cl,Universidad de La Serena,+56 9 2416-1915,Ciencias Sociales y Humanidades,Derecho,5
"Juan Hernán, Ortiz Pérez",M,20,20.606.111-K,j.ortiz98@udec.cl,Universidad de Concepción,+56 9 0694-7313,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Cecilia Rita, Toro Leiva",F,27,19.436.010-K,cecilia.t68@ug.uchile.cl,Universidad de Chile,+56 9 4943-2739,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,5
